id,Age,Gender,Annual Income,Marital Status,Number of Dependents,Education Level,Occupation,Health Score,Location,Policy Type,Previous Claims,Vehicle Age,Credit Score,Insurance Duration,Policy Start Date,Customer Feedback,Smoking Status,Exercise Frequency,Property Type,Premium Amount
0,19,Female,10049,Married,1,Bachelor's,Self-Employed,22.59876067,Urban,Premium,2,17,372,5,21:39.1,Poor,No,Weekly,House,2869
1,39,Female,31678,Divorced,3,Master's,,15.56973099,Rural,Comprehensive,1,12,694,2,21:39.1,Average,Yes,Monthly,House,1483
2,23,Male,25602,Divorced,3,High School,Self-Employed,47.17754929,Suburban,Premium,1,14,,3,21:39.2,Good,Yes,Weekly,House,567
3,21,Male,141855,Married,2,Bachelor's,,10.93814416,Rural,Basic,1,0,367,1,21:39.2,Poor,Yes,Daily,Apartment,765
4,21,Male,39651,Single,1,Bachelor's,Self-Employed,20.37609363,Rural,Premium,0,8,598,4,21:39.3,Poor,Yes,Weekly,House,2022
5,29,Male,45963,Married,1,Bachelor's,,33.05319768,Urban,Premium,2,4,614,5,21:39.2,Average,No,Weekly,House,3202
6,41,Male,40336,Married,0,PhD,,,Rural,Basic,2,8,807,6,21:39.2,Poor,No,Weekly,House,439
7,48,Female,127237,Divorced,2,High School,Employed,5.769783093,Suburban,Comprehensive,1,11,398,5,21:39.2,Average,No,Rarely,Condo,111
8,21,Male,1733,Divorced,3,Bachelor's,,17.86955081,Urban,Premium,1,10,685,8,21:39.2,Average,No,Monthly,Condo,213
9,44,Male,52447,Married,2,Master's,Employed,20.47371786,Urban,Comprehensive,1,9,635,3,21:39.1,Poor,No,Daily,Condo,64
10,56,Female,8054,Married,1,Bachelor's,Unemployed,,Rural,Premium,1,8,431,8,21:39.1,Average,No,Monthly,Condo,857
11,23,Male,30983,Single,3,Master's,,5.813128941,Urban,Premium,,6,597,8,21:39.2,Good,No,Rarely,Condo,1447
12,25,Female,23706,Single,4,Master's,Employed,4.090538024,Urban,Comprehensive,2,19,,2,21:39.1,Poor,Yes,Weekly,Apartment,703
13,44,Female,70893,Single,0,Bachelor's,,55.89632239,Suburban,Premium,0,3,511,6,21:39.1,Good,Yes,Weekly,House,1847
14,40,Female,23897,Divorced,,High School,Self-Employed,29.08203616,Suburban,Basic,2,15,498,1,21:39.2,Good,No,Rarely,Condo,30
15,18,Male,6076,Married,2,High School,Employed,7.442964016,Urban,Premium,1,12,584,5,21:39.2,Good,Yes,Monthly,Apartment,849
16,59,Female,28266,Divorced,2,PhD,Unemployed,21.67346054,Urban,Basic,0,16,,3,21:39.3,Average,Yes,Weekly,Condo,183
17,34,Female,45907,Divorced,4,High School,Self-Employed,24.05963876,Suburban,Comprehensive,0,0,694,8,21:39.1,Poor,Yes,Daily,Condo,643
